name,address,is_active
LC SEL Dataran Abadi,"No. 1, Jalan Dataran Abadi, Taman Dataran Abadi, 43900 Sepang, Selangor",1
LC SEL Dataran Abadi Ext,"No 3, Jalan DA 7/3, Taman Dataran Abadi, Labu Lanjut, Salak Tinggi, 43900 Sepang, Selangor",1
LC SEL Salak Tinggi,"No 7, Tingkat 1, Jalan Baiduri 1, 43400 Salak Tinggi Sepang, Selangor",1
LC WPJ IOI Resort City,"L-UG-03, UG Floor, Connection Commercial Persiaran IRC 3, IOI Resort City 62502 Putrajaya, Sepang, Selangor",1
LC WPJ Presint 15,"Unit. No.2A, First Floor, Commercial Lot Nadi 15, Jalan Pulau Pinang, Presint 15 Putrajaya, 62050, Wilayah Persekutuan Putrajaya",1
LC Playschool Bandar Springhill,"Lot 57-1, Jalan Springhill 9/12, Bandar Springhill 71010 Port Dickson, Negeri Sembilan",1
LC Playschool Bdr Sri Permaisuri,"No 22-1 Jalan Dwitasik 2, Dataran Dwitasik, Bandar Sri Permaisuri 56000 Kuala Lumpur",1
LC Playschool Bdr Baru Salak Tinggi,"No 47-G, Jalan Mawar 3B, Taman Mawar, Bandar Baru Salak Tinggi,  43900 Sepang, Selangor",1
LC Playschool Kuala Selangor,No 44 Jalan Melati 3/25 Bandar Melawati 45000 Kuala Selangor,1
LC Playschool Seksyen 19,"49-1, Jalan Nelayan A 19/A, Seksyen 19, 40300 Shah Alam, Selangor",1
LC Playschool Seksyen 8,"No 2 Jalan Gunung Nuang U11/7, Taman Bukit Bandaraya 40170",1
LC Playschool Denai Alam,"No 5-2, First Floor, Jalan Elektron F U16/F, Seksyen U16, 40160 Shah Alam, Selangor",1
LC Playschool Sungai Buloh,"No 75-2, Jln Nautika A U20/A, Pusat komersil TSB, Seksyen U20, 40160 Shah Alam, Selangor",1
LC Playschool Bdr Laguna Merbok,"No 10A, Lorong BLM 1/6, Bandar Laguna Merbok, 08000 Sungai Petani, Kedah",1
LC Playschool Jalan Langgar,"No. 21 (tingkat 1), Taman Vistana Indah Jalan Langgar 06500 Langgar Kedah",1
LC PLayschool Jalan Pegawai,"No 157, Ground Floor, Kompleks Sultan Abdul Hamid, Persiaran Sultan Abdul Hamid, Fasa II, 05050 Alor Setar, Kedah",1
LC Playschool Langkawi,"No 153B, Persiaran Bunga Raya, Langkawi Mall 2, 07000 Kuah Langkawi Kedah",1
LC Playschool Mergong,"No.123, Jalan Sari, Taman Bandar Baru Mergong, 05250 Alor Setar, Kedah",1
LC Playschool Arau,"No. 5, Tingkat 1, Jalan Medan Arau Jaya, Medan Arau Jaya, 02600 Arau, Perlis",1
LC Playschool Kangar Jaya,"NO 25, TINGKAT 1, JALAN KANGAR JAYA, 14 OFF KANGAR JAYA 01000 KANGAR PERLIS MALAYSIA",1
LC Playschool Hutan Melintang,"No1, Lorong Sri Intan 9A, Taman Sri Intan 4, 36400 Hutan Melintang, Perak",1
LC Playschool Langkap,"No 29, PT 4512, Lorong 2, Jalan Chui Chak Taman Seri Langkap, 36700 Langkap, Perak",1
LC Playschool Medini,"S-14-02, Pusat Komersil Visi Medini, Persiaran Medini 2, Bandar Medini Iskandar, 79250, Iskandar Puteri, Johor",1
